,Squad,Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK
0,Afghanistan,15.0,27.0,,1.0,11.0,90.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0
1,Albania,18.0,25.53333333333333,,1.6666666666666667,18.333333333333332,150.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.0,0.0,3.3333333333333335,0.0,1.0,0.6666666666666666,1.6666666666666667,1.0,1.6666666666666667
2,Algeria,19.666666666666664,27.133333333333333,39.5,2.75,30.25,255.0,2.825,3.75,3.166666666666667,3.5,0.25,0.25,5.416666666666666,0.8333333333333333,1.3766666666666667,1.095,2.4716666666666667,1.3166666666666667,2.4141666666666666
3,Andorra,22.666666666666668,28.266666666666666,,2.0,22.0,180.0,2.0,1.0,0.6666666666666666,1.0,0.0,0.0,2.0,0.0,0.5,0.3333333333333333,0.8333333333333334,0.5,0.8333333333333334
4,Anguilla,14.0,26.6,,1.0,11.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Argentina,20.0,27.8,59.849999999999994,5.333333333333333,58.666666666666664,510.0,5.666666666666667,7.333333333333333,3.0,7.333333333333333,0.0,0.3333333333333333,4.0,0.0,1.39,0.6233333333333334,2.0166666666666666,1.39,2.0166666666666666
6,Armenia,19.5,27.35,,2.0,22.0,180.0,2.0,1.5,1.0,1.5,0.0,0.0,4.5,1.0,0.75,0.5,1.25,0.75,1.25
7,Australia,17.0,28.0,47.7,3.0,33.0,270.0,3.0,2.6666666666666665,0.6666666666666666,1.6666666666666667,1.0,1.0,6.666666666666667,0.6666666666666666,0.89,0.22333333333333336,1.1133333333333333,0.5566666666666666,0.7766666666666667
8,Austria,21.666666666666668,27.599999999999998,,1.6666666666666667,18.333333333333332,150.0,1.6666666666666667,2.3333333333333335,2.0,2.3333333333333335,0.0,0.0,2.3333333333333335,0.0,1.5,1.1666666666666667,2.6666666666666665,1.5,2.6666666666666665
9,Azerbaijan,24.333333333333332,26.233333333333334,,2.6666666666666665,29.333333333333332,240.0,2.6666666666666665,2.0,1.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,6.666666666666667,0.3333333333333333,0.39999999999999997,0.19999999999999998,0.6,0.26666666666666666,0.4666666666666666
10,Bahrain,29.666666666666668,27.899999999999995,,5.333333333333333,58.666666666666664,480.0,5.333333333333333,11.666666666666666,5.333333333333333,9.0,2.6666666666666665,3.3333333333333335,5.666666666666667,0.0,2.09,0.8333333333333334,2.9266666666666663,1.6766666666666667,2.51
11,Bangladesh,21.0,23.733333333333334,,2.3333333333333335,25.666666666666668,210.0,2.3333333333333335,1.3333333333333333,1.0,1.3333333333333333,0.0,0.0,3.6666666666666665,0.0,0.5566666666666666,0.44333333333333336,1.0,0.5566666666666666,1.0
12,Barbados,18.5,24.45,,2.0,22.0,180.0,2.0,1.0,0.0,0.5,0.5,0.5,5.5,0.0,0.5,0.0,0.5,0.25,0.25
13,Belarus,28.333333333333332,26.400000000000002,,2.6666666666666665,29.333333333333332,240.0,2.6666666666666665,3.6666666666666665,3.0,3.6666666666666665,0.0,0.6666666666666666,3.6666666666666665,0.3333333333333333,1.4433333333333334,1.1666666666666667,2.6133333333333333,1.4433333333333334,2.6133333333333333
14,Belgium,22.083333333333336,26.808333333333334,52.75,4.0,44.0,367.5,4.075,6.916666666666667,5.166666666666667,6.666666666666667,0.25,0.25,1.4166666666666665,0.0,1.6508333333333334,1.1983333333333333,2.849166666666667,1.6158333333333332,2.8116666666666665
15,Belize,25.0,28.2,,3.0,33.0,270.0,3.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0,0.33,0.0,0.33,0.33,0.33
16,Benin,18.333333333333332,27.566666666666666,,1.6666666666666667,18.333333333333332,150.0,1.6666666666666667,3.6666666666666665,2.6666666666666665,3.6666666666666665,0.0,0.0,1.3333333333333333,0.0,2.11,1.3333333333333333,3.4433333333333334,2.11,3.4433333333333334
17,Bermuda,14.0,25.1,,1.0,11.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Bolivia,25.5,28.799999999999997,,2.0,22.0,180.0,2.0,4.0,3.0,3.5,0.5,0.5,1.0,0.0,3.0,2.0,5.0,2.5,4.5
19,Bosnia and Herzegovina,24.5,26.016666666666666,53.7,2.833333333333333,31.166666666666664,255.0,2.833333333333333,2.3333333333333335,1.1666666666666667,2.3333333333333335,0.0,0.0,3.5,0.16666666666666666,0.7816666666666667,0.36833333333333335,1.15,0.7816666666666667,1.15
20,Brazil,19.333333333333332,28.233333333333334,56.0,5.666666666666667,62.333333333333336,520.0,5.766666666666667,9.333333333333334,5.333333333333333,9.0,0.3333333333333333,0.3333333333333333,3.0,0.3333333333333333,1.6333333333333335,0.8766666666666666,2.51,1.5866666666666667,2.4633333333333334
21,Brunei Darussalam,15.0,26.3,,1.0,11.0,90.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0
22,Bulgaria,28.0,26.5,,3.0,33.0,270.0,3.0,3.6666666666666665,2.6666666666666665,3.3333333333333335,0.3333333333333333,0.3333333333333333,3.0,0.3333333333333333,1.2333333333333334,1.0333333333333334,2.2666666666666666,1.1666666666666667,2.1999999999999997
23,Burkina Faso,24.0,25.2,,2.3333333333333335,25.666666666666668,210.0,2.3333333333333335,2.0,1.0,1.6666666666666667,0.3333333333333333,0.6666666666666666,4.333333333333333,0.3333333333333333,0.9433333333333334,0.44333333333333336,1.39,0.7766666666666667,1.2233333333333334
24,Burundi,18.0,24.433333333333334,,1.3333333333333333,14.666666666666666,120.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,2.3333333333333335,0.3333333333333333,1.1666666666666667,0.6666666666666666,1.8333333333333333,1.0,1.6666666666666667
25,Cameroon,19.5,25.975,44.3,2.25,24.75,202.5,2.25,1.0,0.25,0.75,0.25,0.25,3.25,0.25,0.375,0.0825,0.46,0.29000000000000004,0.375
26,Canada,24.0,24.7,,3.0,33.0,270.0,3.0,8.0,5.0,8.0,0.0,0.0,3.0,0.0,2.67,1.67,4.33,2.67,4.33
27,Cape Verde,21.333333333333332,26.46666666666667,,1.6666666666666667,18.333333333333332,150.0,1.6666666666666667,3.6666666666666665,3.3333333333333335,3.6666666666666665,0.0,0.0,0.6666666666666666,0.0,1.8333333333333333,1.6666666666666667,3.5,1.8333333333333333,3.5
28,Central African Republic,21.5,24.85,,2.0,22.0,180.0,2.0,0.5,0.0,0.0,0.5,0.5,5.5,0.5,0.25,0.0,0.25,0.0,0.0
29,Chad,15.0,27.9,,3.0,11.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Chile,24.75,25.275,55.3,3.5,38.5,322.5,3.575,4.75,2.25,4.75,0.0,0.0,4.75,0.25,1.3675,0.6725,2.0425,1.3675,2.0425
31,Colombia,19.0,27.45,49.05,2.75,30.25,255.0,2.825,5.5,3.75,5.0,0.5,0.5,1.25,0.25,1.9449999999999998,0.7875,2.7350000000000003,1.845,2.635
32,Comoros,18.0,27.46666666666667,,1.3333333333333333,14.666666666666666,120.0,1.3333333333333333,2.3333333333333335,1.0,2.3333333333333335,0.0,0.0,0.3333333333333333,0.0,1.8333333333333333,0.8333333333333334,2.6666666666666665,1.8333333333333333,2.6666666666666665
33,Congo,15.0,24.0,,1.5,16.5,135.0,1.5,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0
34,Congo DR,20.0,27.233333333333334,,1.6666666666666667,18.333333333333332,150.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,1.6666666666666667,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666
35,Costa Rica,28.75,28.475,41.05,4.0,44.0,375.0,4.175,1.75,1.5,1.75,0.0,0.25,6.25,0.25,0.365,0.3225,0.6900000000000001,0.365,0.6900000000000001
36,Croatia,20.166666666666664,27.833333333333336,52.95,3.5,38.5,337.5,3.75,6.0,3.916666666666667,5.583333333333333,0.41666666666666663,0.6666666666666666,3.666666666666667,0.41666666666666663,1.5725,1.0833333333333335,2.6558333333333333,1.4591666666666665,2.5425
37,Cuba,17.0,24.950000000000003,,2.0,22.0,180.0,2.0,3.0,2.0,3.0,0.0,0.0,4.0,0.5,1.5,1.0,2.5,1.5,2.5
38,Curaçao,19.0,27.2,,2.0,22.0,180.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.5,0.5,1.0,0.5,1.0
39,Cyprus,22.0,25.15,,2.0,22.0,180.0,2.0,1.0,0.5,1.0,0.0,0.0,2.0,0.5,0.5,0.25,0.75,0.5,0.75
40,Czech Republic,26.0,26.866666666666664,,2.3333333333333335,25.666666666666668,210.0,2.3333333333333335,4.666666666666667,3.3333333333333335,4.333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.0,1.5833333333333333,0.9166666666666666,2.5,1.4166666666666667,2.3333333333333335
41,Côte d'Ivoire,18.416666666666664,27.583333333333332,55.3,2.5,27.5,225.0,2.5,2.6666666666666665,1.0833333333333333,2.5,0.16666666666666666,0.16666666666666666,4.416666666666667,0.16666666666666666,0.9983333333333333,0.41666666666666663,1.415,0.915,1.3316666666666668
42,Denmark,22.083333333333336,27.225,43.8,2.75,30.25,255.0,2.825,3.8333333333333335,2.25,3.6666666666666665,0.16666666666666666,0.16666666666666666,3.75,0.0,1.5891666666666668,0.9225,2.5116666666666667,1.5058333333333334,2.4283333333333332
43,Dominican Republic,27.0,23.0,,2.0,22.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
44,Ecuador,27.5,26.950000000000003,45.0,3.0,33.0,270.0,3.0,4.5,3.0,4.5,0.0,0.0,4.0,0.5,1.5,1.0,2.5,1.5,2.5
45,Egypt,16.0,28.9,43.3,3.0,33.0,270.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,0.0,0.67,0.33,1.0,0.33,0.67
46,El Salvador,34.0,27.0,,4.0,44.0,360.0,4.0,0.5,0.0,0.5,0.0,0.0,7.5,0.0,0.085,0.0,0.085,0.085,0.085
47,England,21.333333333333332,25.93333333333333,54.349999999999994,3.3333333333333335,36.66666666666667,310.0,3.4499999999999997,5.0,2.833333333333333,4.0,1.0,1.1666666666666665,2.0,0.0,1.5816666666666666,0.9916666666666667,2.5716666666666663,1.2650000000000001,2.256666666666667
48,Estonia,25.5,25.1,,2.5,27.5,225.0,2.5,1.0,0.0,0.5,0.5,0.5,5.5,0.0,0.41500000000000004,0.0,0.41500000000000004,0.25,0.25
49,Eswatini,17.0,29.2,,2.0,22.0,180.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
50,Ethiopia,16.5,24.65,,1.0,11.0,90.0,1.0,2.5,2.5,2.5,0.0,0.0,1.0,0.0,2.5,2.5,5.0,2.5,5.0
51,Faroe Islands,22.333333333333332,27.96666666666667,,2.0,22.0,180.0,2.0,2.3333333333333335,2.0,2.0,0.3333333333333333,0.3333333333333333,3.6666666666666665,0.0,1.1666666666666667,1.0,2.1666666666666665,1.0,2.0
52,Fiji,15.0,25.9,,1.0,11.0,90.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0
53,Finland,26.666666666666668,26.53333333333333,,2.6666666666666665,29.333333333333332,240.0,2.6666666666666665,2.0,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.0,0.8333333333333334,0.5833333333333334,1.4166666666666667,0.75,1.3333333333333333
54,France,20.666666666666668,26.916666666666668,50.8,3.5,38.5,315.0,3.5,6.666666666666666,4.5,5.833333333333334,0.8333333333333333,1.1666666666666667,1.6666666666666667,0.16666666666666666,2.19,1.5933333333333333,3.783333333333333,2.0033333333333334,3.595
55,Gabon,11.5,27.450000000000003,,1.0,11.0,90.0,1.0,0.5,0.0,0.0,0.5,0.5,1.5,0.0,0.5,0.0,0.5,0.0,0.0
56,Gambia,22.5,24.35,,3.5,38.5,315.0,3.5,3.5,2.0,2.0,1.5,2.0,3.0,0.5,1.0,0.75,1.75,0.75,1.5
57,Georgia,28.0,26.4,,3.0,33.0,270.0,3.0,2.5,2.0,2.5,0.0,0.0,7.0,1.0,0.75,0.625,1.375,0.75,1.375
58,Germany,20.833333333333336,26.333333333333336,64.95,3.8333333333333335,42.16666666666667,355.0,3.9499999999999997,8.333333333333334,4.0,8.166666666666666,0.16666666666666666,0.3333333333333333,2.166666666666667,0.3333333333333333,2.0516666666666667,1.2066666666666668,3.255,2.0300000000000002,3.2333333333333334
59,Ghana,19.25,25.30833333333333,48.7,2.8333333333333335,31.166666666666664,270.0,3.0083333333333333,3.0833333333333335,1.6666666666666665,2.5833333333333335,0.5,0.5,2.75,0.0,0.9691666666666667,0.6658333333333333,1.6375,0.8816666666666667,1.55
60,Gibraltar,17.666666666666668,27.2,,2.0,22.0,180.0,2.0,0.0,0.0,0.0,0.0,0.3333333333333333,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
61,Greece,21.166666666666664,27.016666666666666,47.3,3.083333333333333,33.916666666666664,285.0,3.158333333333333,2.916666666666667,1.4166666666666667,2.666666666666667,0.25,0.25,4.833333333333334,0.25,0.9233333333333333,0.5158333333333334,1.4391666666666667,0.8658333333333335,1.3816666666666668
62,Grenada,18.0,26.1,,2.0,22.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
63,Guatemala,29.333333333333332,27.166666666666668,,3.3333333333333335,36.666666666666664,300.0,3.3333333333333335,3.0,2.0,2.6666666666666665,0.3333333333333333,0.3333333333333333,5.0,0.0,1.0,0.6666666666666666,1.6666666666666667,0.9166666666666666,1.5833333333333333
64,Guinea,21.333333333333332,25.933333333333334,,2.6666666666666665,29.333333333333332,240.0,2.6666666666666665,2.6666666666666665,2.0,2.0,0.6666666666666666,0.6666666666666666,2.0,0.0,1.2233333333333334,1.0566666666666666,2.276666666666667,1.0566666666666666,2.11
65,Guinea-Bissau,11.0,26.3,,1.0,11.0,90.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
66,Guyana,20.0,27.3,,2.0,22.0,180.0,2.0,6.0,4.0,4.0,2.0,2.0,3.0,0.0,3.0,2.0,5.0,2.0,4.0
67,Haiti,16.0,25.4,,1.5,16.5,135.0,1.5,1.5,1.5,1.5,0.0,0.0,2.5,0.0,1.0,1.0,2.0,1.0,2.0
68,Honduras,19.75,27.80833333333333,49.0,2.5,27.5,225.0,2.5,1.0833333333333335,0.0,0.75,0.3333333333333333,0.3333333333333333,4.75,0.25,0.5275,0.0,0.5275,0.27749999999999997,0.27749999999999997
69,Hungary,21.0,27.5,,2.0,22.0,180.0,2.0,1.0,0.5,1.0,0.0,0.5,3.5,0.0,0.5,0.25,0.75,0.5,0.75
70,IR Iran,19.0,27.5,,1.5,16.5,135.0,1.5,3.5,2.5,3.0,0.5,0.5,1.0,0.0,2.5,1.75,4.25,2.25,4.0
71,Iceland,22.5,28.03333333333333,33.0,3.0,33.0,270.0,3.0,2.333333333333333,0.6666666666666666,1.8333333333333333,0.5,1.0,3.0,0.0,0.7933333333333333,0.19499999999999998,0.9883333333333333,0.6233333333333333,0.8183333333333334
72,India,27.5,25.7,,3.0,33.0,270.0,3.0,2.5,2.0,2.5,0.0,0.0,4.0,0.0,0.75,0.625,1.375,0.75,1.375
73,Indonesia,25.5,23.1,,2.5,27.5,225.0,2.5,5.0,1.5,4.0,1.0,1.0,3.0,0.0,2.085,0.5,2.585,1.665,2.165
74,Iran,15.5,27.6,32.0,3.0,33.0,270.0,3.0,1.0,0.5,0.5,0.5,0.5,5.5,0.0,0.33,0.165,0.5,0.165,0.335
75,Iraq,26.666666666666668,24.766666666666666,,3.0,33.0,270.0,3.0,5.0,2.6666666666666665,4.0,1.0,1.0,3.3333333333333335,0.0,1.5999999999999999,0.8333333333333334,2.433333333333333,1.2,2.033333333333333
76,Israel,21.0,27.799999999999997,,2.0,22.0,180.0,2.0,2.5,2.0,2.5,0.0,0.5,1.5,0.0,1.25,1.0,2.25,1.25,2.25
77,Italy,22.833333333333336,27.71666666666667,55.0,2.3333333333333335,25.666666666666664,210.0,2.3333333333333335,5.333333333333334,3.3333333333333335,4.75,0.5833333333333333,0.5833333333333333,2.3333333333333335,0.25,2.6666666666666665,1.8341666666666667,4.498333333333333,2.4175,4.2491666666666665
78,Jamaica,26.0,26.7,,2.0,22.0,180.0,2.0,2.0,1.3333333333333333,2.0,0.0,0.0,3.3333333333333335,0.0,0.7766666666666667,0.5,1.2766666666666666,0.7766666666666667,1.2766666666666666
79,Japan,21.083333333333336,27.608333333333334,54.35,3.333333333333333,36.66666666666667,305.0,3.3833333333333337,3.5,2.416666666666667,3.083333333333333,0.41666666666666663,0.41666666666666663,3.833333333333333,0.0,1.1400000000000001,0.8825000000000001,2.0208333333333335,1.0358333333333334,1.9166666666666665
80,Jordan,25.666666666666668,26.933333333333334,,5.666666666666667,62.333333333333336,510.0,5.666666666666667,7.333333333333333,3.0,6.666666666666667,0.6666666666666666,1.0,9.666666666666666,1.0,1.5966666666666667,0.35666666666666663,1.9533333333333334,1.2366666666666666,1.5966666666666667
81,Kazakhstan,20.5,28.3,,1.5,16.5,135.0,1.5,0.5,0.0,0.5,0.0,0.0,3.5,0.5,0.25,0.0,0.25,0.25,0.25
82,Kenya,19.5,25.2,,1.5,16.5,135.0,1.5,2.0,2.0,2.0,0.0,0.0,3.0,0.0,1.25,1.25,2.5,1.25,2.5
83,Korea DPR,15.0,26.5,,3.0,35.0,270.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.33,0.0,0.33,0.33,0.33
84,Korea Republic,18.333333333333336,26.866666666666664,44.8,2.5,27.5,225.0,2.5,4.166666666666666,2.1666666666666665,4.0,0.16666666666666666,0.3333333333333333,4.0,0.0,1.6666666666666665,0.945,2.611666666666667,1.5833333333333335,2.5283333333333333
